id	name	industries	investors	value_usd	last_funding_type	founded_date	num_employees	website	social_media_links	monthly_visits	about	address	country_code	cb_rank	full_description	image
breez	Breez	Bitcoin, Payments	Plan B Fund, ego death capital, Entrée Capital, Timechain, Concentric, ego death capital, Bitcoiner Ventures, Fulgur Ventures, Entrée Capital, Lightning Ventures	14000000	series_unknown	2018-05-24	11-50	https://breez.technology	https://linkedin.com/company/zuz-bitcoin, https://twitter.com/breez_tech	6748	Lightning fast Bitcoin payments	Tel Aviv, Tel Aviv, Israel, Asia	IL	5261	Breez provides a simple, fast and safe way to spend your bitcoins. Powered by Lightning Network, Breez is the future of commerce.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/g3x3avdlpq7prnxw72jb
au10tix	AU10TIX	Cyber Security, Identity Management, Machine Learning, Security	Oak HC/FT, TPG	80000000	series_unknown	2005-01-01	101-250	http://www.au10tix.com	http://www.facebook.com/Au10tix, http://www.linkedin.com/company/au10tix-limited, http://twitter.com/AU10TIXLimited	14543	AU10TIX focuses on global customer onboarding and forensic level identity authentication.	Hod Hasharon, HaMerkaz, Israel, Asia	IL	1782	AU10TIX is an identity intelligence company on a mission to obliterate fraud and make the world a more secure and inclusive place, with forensic-grade technology that confidently links our physical and digital identities.   Brands like Google, Uber, PayPal, Grab and Payoneer turn to AU10TIX to verify and protect their biggest asset—their customers—with critical, modular solutions, from identity document verification to biometric authentication, liveness detection, electronic identity data verification and synthetic fraud detection. From implementation to optimization, AU10TIX tailors these capabilities to help global business leaders balance unique goals and requirements across user experience, compliance, growth and safety.  Over the past decade, AU10TIX has defined the way global enterprises automate customer onboarding and ongoing customer verification through cutting-edge machine learning and computer vision, enabling companies to onboard faster, prevent fraud, meet compliance mandates and establish trust with their customers. The company’s proprietary technology, unlike traditional, semi-manual identity verification products, returns identity verification results in a matter of seconds, safely meeting the real-time demands of today’s world of physical–digital transactions.   AU10TIX's most recent funding is an $80M investment from TPG and Oak HC/FT to fuel growth and innovation for the future of identity’s role in society. Headquartered in Israel, AU10TIX is a subsidiary of ICTS International N.V. (OTCQB: ICTSF). For more information, visit AU10TIX.com.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/omdxlt9nrw1tliriss6o
finda-c4a5	iDAL	Communities	Crowdcube, Future Fund	493929	convertible_note	2018-02-15	1-10	https://www.idal.co	https://www.facebook.com/idaltalent, https://www.linkedin.com/company/findaformodels	93	Technology, community and expert management for talent	London, England, United Kingdom, Europe	GB	173126	Our mission is to change the inefficient and opaque talent management world, by building the largest database of desirable, professional talent and providing all-in-one place platform for brands and production companies to find and work with talent anywhere in the world.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/oaqqfmuiysaqvob7hjxd
yodlee	Yodlee	Banking, Financial Services, FinTech, Mobile, Software	Accel, Bank of America, Warburg Pincus, IVP, Accel, IVP, Warburg Pincus, Accel, Sequoia Capital	141309780	series_unknown	1999-01-01	1001-5000	http://www.yodlee.com	http://www.facebook.com/Yodlee, https://www.linkedin.com/company/yodlee, http://twitter.com/Yodlee	1452668	Yodlee is a provider of financial applications that offers solutions for banks, entrepreneurs and individuals.	Redwood City, California, United States, North America	US	221374	Yodlee is a provider of financial applications that aims to make online banking more profitable. Yodlee's personal financial management, payments, and customer acquisition solutions unify all personal financial account information to deliver centralized way for users to manage their financial tasks.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/olejzqd6fomhircltue9
twine-health	Twine Health	Health Care, Health Diagnostics, Hospital	Neoteny Labs, Provenance Ventures, Tower Capital Partners, Qiming Venture Partners, Khosla Ventures, Khosla Ventures, Provenance Ventures, Tower Capital Partners, MIT Media Lab	8250000	series_a	2014-01-01	11-50	http://www.twinehealth.com/	https://www.facebook.com/twinehealth, http://www.linkedin.com/company/5133656, http://twitter.com/twinehealth	NULL	Twine Health is a cloud-based collaborative care platform for chronic disease management.	Cambridge, Massachusetts, United States, North America	US	103600	"Twine Health is a cloud-based collaborative care platform for chronic disease management. It consists of a patient engagement portal, a peer support network, a care management solution, and an outcome analytics tool.

The platform enables users to co-create personalized care plans that serve as common ground for collaboration with their care team: their own providers such as physicians and nurse practitioners; their family and friends; and coaches such as nurses, pharmacists, health coaches, and more.

Twine Health was developed at the MIT Medical Lab by John Moore and Frank Moss and its operations are based in Massachusetts, United States."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1411810905/g05wngvgavsl4cfa6pzd.jpg
astana-international-finance-centre	Astana International Finance Centre	Consulting, Financial Services	NULL	NULL	NULL	2018-01-01	51-100	http://www.aifc.kz/	https://www.linkedin.com/company/aifckz, https://twitter.com/AIFC_KZ	35438	The AIFC operates within a special legal regime based on Common Law, which regulates the legal relationships.	Astana, Astana, Kazakhstan, Asia	KZ	533926	"The Astana International Finance Centre operates within a special legal regime based on Common Law, which regulates the legal relationships between Astana International Finance Centre participants and third parties and is aimed at the development of the financial market.

Astana International Financial Centre (AIFC) is a financial hub for Central Asia, the Caucasus, EAEU, the Middle East, West China, Mongolia and Europe. The Centre will be situated within EXPO-2017 and supported by modern infrastructure & the latest technology."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1497267067/sviiseh8synlcc3xtfnm.png
pollinate-energy	Pollinate Energy	Non Profit, Social Entrepreneurship	Pangaea Impact Investments	NULL	series_unknown	2012-01-01	11-50	http://pollinateenergy.org/	https://www.facebook.com/PollinateEnergy/timeline?ref=page_internal, https://www.linkedin.com/company/pollinate-energy, https://twitter.com/pollinateenergy	NULL	Pollinate Energy, a social business, offers India’s urban poor with access to affordable products with a focus on sustainable solutions.	Fitzroy, Victoria, Australia, Oceania	AU	1786109	Pollinate Energy is a social business that aims to give India’s urban poor access to affordable products with a focus on sustainable solutions. The organization was founded by Monique Alfris, Jamie Chivers, Emma Colenbrander, Katerina Kimmorley, and Ben Merven in 2012 and is based in Bangalore, India.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1425725656/avop1lhjoepd4gy6ugip.png
acquafintech	Acquafintech	Financial Services	NULL	NULL	NULL	2020-01-01	NULL	http://www.acquafintech.com/	https://www.linkedin.com/company/acqua-payments	NULL	Acquafintech is a financial consultancy service that find the best tailored and innovate payment solutions for your business requirements.	NULL	NULL	3115057	Acquafintech is a financial consultancy service that find the best tailored and innovate payment solutions for your business requirements.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/ensgenpbbal6iprkndk4
1-of-nothing	1% of Nothing	Non Profit	NULL	NULL	NULL	2011-04-01	1-10	http://1percentof.org	https://www.facebook.com/1percentof/, http://twitter.com/1percentof	NULL	1% of Nothing connects businesses that donate one percent of their equity for social and community development purposes.	San Francisco, California, United States, North America	US	3118190	1% of Nothing wants to change the world through inspiring early-stage corporate philanthropy. It connect startups and founders to causes, where they can donate 1% of their equity, tying their own success to making major differences with those causes.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397199354/f52c8a4778b45af6e6d3ef99dcb233cf.png
atlantic-labs	Atlantic Labs	Venture Capital	NULL	NULL	NULL	2013-01-01	11-50	http://www.atlanticlabs.de	https://www.linkedin.com/company/atlantic-labs/	713	Atlantic Labs is a European first round investor, headquartered in Berlin.	Berlin, Berlin, Germany, Europe	DE	1553	"Atlantic Labs is a European first round investor, headquartered in Berlin. We believe entrepreneurs shape the future, and work hard to support ambitious founders throughout their entire entrepreneurial journey. 

Since 2013, we have led over 150 first round investments – backing category creators such as Soundcloud, GetYourGuide, Clue, Vimcar, Zenjob, Choco and Wandelbots.

Emerging technologies excite us as much as startups tackling social challenges. Recent investments have focused on decarbonisation, artificial intelligence, and industrial automation."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/xzqkvj6f6mcnmp88erom
